Controller Name:,"Cathode11109820344"
Trend Name:,"ic_conveyor_position_1"
Trend Tags:,"8"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,2026-08-10,12:37:50;387
Stop Time:,2026-08-10,12:38:42;607
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"Program:Sheet_Conveyor_2\ic_conveyor_position","Program:Sheet_Conveyor_2\var_volts_velocity","Program:Sheet_Conveyor_2\oa_conveyor","Program:Sheet_Conveyor_2\i_conveyor_index","Program:Sheet_Conveyor_2\State_Accel_001.X","Program:Sheet_Conveyor_2\State_Full_Speed_001.X","Program:Sheet_Conveyor_2\State_Decel_001.X","Program:Sheet_Conveyor_2\State_Creep_In_001.X"
Data,2026-08-10,12:37:52;627,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;637,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;647,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;657,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;667,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;677,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;687,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;697,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;707,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;717,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;727,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;737,"0","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;747,"0","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;757,"0","3.000000","9830","0","1","0","0","0"
Data,2026-08-10,12:37:52;767,"0","3.000000","9830","0","1","0","0","0"
Data,2026-08-10,12:37:52;777,"0","3.000000","9830","0","1","0","0","0"
Data,2026-08-10,12:37:52;787,"0","3.000000","9830","0","1","0","0","0"
Data,2026-08-10,12:37:52;797,"0","3.000000","9830","0","1","0","0","0"
Data,2026-08-10,12:37:52;807,"0","3.000000","9830","0","1","0","0","0"
Data,2026-08-10,12:37:52;817,"16","3.000000","9830","0","1","0","0","0"
Data,2026-08-10,12:37:52;827,"16","3.004800","9846","0","1","0","0","0"
Data,2026-08-10,12:37:52;837,"48","3.004800","9846","0","1","0","0","0"
Data,2026-08-10,12:37:52;847,"48","3.014400","9877","1","1","0","0","0"
Data,2026-08-10,12:37:52;857,"88","3.026400","9917","1","1","0","0","0"
Data,2026-08-10,12:37:52;867,"88","3.026400","9917","1","1","0","0","0"
Data,2026-08-10,12:37:52;877,"135","3.026400","9917","1","1","0","0","0"
Data,2026-08-10,12:37:52;887,"135","3.040500","9963","1","1","0","0","0"
Data,2026-08-10,12:37:52;897,"188","3.040500","9963","1","1","0","0","0"
Data,2026-08-10,12:37:52;907,"188","3.056400","10015","1","1","0","0","0"
Data,2026-08-10,12:37:52;917,"234","3.070200","10060","1","1","0","0","0"
Data,2026-08-10,12:37:52;927,"234","3.070200","10060","1","1","0","0","0"
Data,2026-08-10,12:37:52;937,"277","3.070200","10060","1","1","0","0","0"
Data,2026-08-10,12:37:52;947,"277","3.083100","10102","1","1","0","0","0"
Data,2026-08-10,12:37:52;957,"318","3.083100","10102","1","1","0","0","0"
